861f17a7601094208a5b0c928699e44a4c6bd6ec1a8dabcd66fbc8c531d37a7a,d3c87394ebeec909f779b669f3330a664b119cc8b8dd299bc401e9212716eab1,cuc,CLAREMONT-WPA-ROLE,CUC-MUDD-3-IRIS-N,"Access Points","Top > CUC > Honold Mudd Library > Third Floor",-,2016,5,16,21,52,0,0,137,1,-,"2 hrs 7 mins",129.69,119.52,10.17,144.10,-40.45,46.58,"SAMSUNG ELECTRO-MECHANICS(THAILAND)","802.11n (5 GHz)",Claremont-WPA,Android,"Samsung SM-G930A",Samsung,SM-G930A,Android,"Linux; Android 6.0.1; SAMSUNG-SM-G930A Build/LRX22C"
20a7352197ee78ff3f1e438636befaa91afccfec5fc6e36fec0598f14c778818,-,-,CLAREMONT-PREAUTH-ROLE,CUC-HON-3-E-OUTSIDE_DC,"Access Points","Top > CUC > Honold Mudd Library > Third Floor",-,2016,5,16,18,52,0,0,137,1,-,"5 hrs 7 mins",0.57,0.37,0.20,0.25,-80.59,16.28,"Apple, Inc.","802.11n (5 GHz)",Claremont,"OS X","Apple Mac",Apple,Mac,"Mac OS X",10_11_4
4df4cbfdbecfaebb285aa62a2318cef4e18b8f5bcb10c1a266445217f50d6bed,601abbdf6be1b11a6e412fc2ff2fa3c09b81a7d4c247b3fd87bbc414fb18c86a,cuc,CLAREMONT-WPA-ROLE,CUC-MUDD-3-N-IRIS,"Access Points","Top > CUC > Honold Mudd Library > Third Floor","Mudd 2 North",2016,5,16,18,0,0,0,137,1,-,"5 hrs 59 mins",0.42,0.21,0.21,0.16,-69.04,27.96,Apple,"802.11n (5 GHz)",Claremont-WPA,iPad,"Apple iPad",Apple,iPad,iOS,"9.2.1 (13D15)"
6aa1c7a6726fe25f8bc6271e267898e8ed823da6a896134c0808299028a82825,601abbdf6be1b11a6e412fc2ff2fa3c09b81a7d4c247b3fd87bbc414fb18c86a,cuc,CLAREMONT-WPA-ROLE,CUC-MUDD-3-N-IRIS,"Access Points","Top > CUC > Honold Mudd Library > Third Floor","Mudd 2 North",2016,5,16,16,48,0,0,137,1,-,"7 hrs 11 mins",0.26,0.12,0.14,0.08,-64.37,32.63,Apple,"802.11n (5 GHz)",Claremont-WPA,iPad,"Apple iPad",Apple,iPad,iOS,"9.2.1 (13D15)"
6c99cf23e035f5236c07f5afa5ea0d693b64af1a182124d3525465395577c9e2,045dd45e30c19c15533a2ee64596843de15c19bf0da0c04f9d82d18bc32fb51a,cuc,CLAREMONT-WPA-ROLE,CUC-MUDD-3-N-IRIS,"Access Points","Top > CUC > Honold Mudd Library > Third Floor","Mudd 2 North",2016,5,16,16,7,0,0,137,1,-,"7 hrs 52 mins",167.08,104.10,62.98,47.40,-62.57,34.43,Apple,"802.11n (5 GHz)",Claremont-WPA,"OS X","Apple Mac",Apple,Mac,"Mac OS X",10_9_5
49c0b6aaf336bc995c5350a38dfb2b00b1d92390a9fff4a7c53f8d04305c15ca,601abbdf6be1b11a6e412fc2ff2fa3c09b81a7d4c247b3fd87bbc414fb18c86a,cuc,CLAREMONT-WPA-ROLE,CUC-MUDD-3-N-IRIS,"Access Points","Top > CUC > Honold Mudd Library > Third Floor","Mudd 2 North",2016,5,16,15,46,0,0,137,1,-,"8 hrs 13 mins",5.07,4.44,0.63,1.38,-69.26,27.74,Apple,"802.11n (5 GHz)",Claremont-WPA,iPad,"Apple iPad",Apple,iPad,iOS,"9.2.1 (13D15)"
f389da4ce73d127737a4882e1fe48b7ae78d070bd373c11f72a365f0e02e6470,1063f6b72aebffa0a5ee0a00f8829edddf50f6bd99fb689cef3b26ff05e31009,cuc,CLAREMONT-WPA-ROLE,CUC-HON-2-W-CONFERENCE_ROOM,"Access Points","Top > CUC > Honold Mudd Library > Second Floor","Honnold 2 West",2016,5,16,9,54,0,0,137,1,-,"14 hrs 5 mins",1.41,0.26,1.15,0.23,-64.99,32.01,"Intel Corporate","802.11n (5 GHz)",Claremont-WPA,Windows,Windows,-,-,Windows,-
35e8b25fc94fb6eed26bc11196bfe3f88b8f77f898603e5cebfbb3cb805d7d00,601abbdf6be1b11a6e412fc2ff2fa3c09b81a7d4c247b3fd87bbc414fb18c86a,cuc,CLAREMONT-WPA-ROLE,CUC-MUDD-3-N-IRIS,"Access Points","Top > CUC > Honold Mudd Library > Third Floor","Mudd 2 North",2016,5,15,6,30,0,6,136,1,-,"1 day 0 hrs 0 mins",2.63,1.56,1.07,0.24,-68.01,28.99,Apple,"802.11n (5 GHz)",Claremont-WPA,iPad,"Apple iPad",Apple,iPad,iOS,"9.3.1 (13E238)"
827422eab21658a9b7b62e0be5bd641958cce9c94b63f95b96f8517d8804a425,601abbdf6be1b11a6e412fc2ff2fa3c09b81a7d4c247b3fd87bbc414fb18c86a,cuc,CLAREMONT-WPA-ROLE,CUC-MUDD-3-N-IRIS,"Access Points","Top > CUC > Honold Mudd Library > Third Floor","Mudd 2 North",2016,5,14,18,13,0,5,135,1,-,"1 day 0 hrs 0 mins",5.07,4.34,0.73,0.47,-64.24,32.76,Apple,"802.11n (5 GHz)",Claremont-WPA,iPad,"Apple iPad",Apple,iPad,iOS,"9.2.1 (13D15)"
e8c46da28022f6a3d480431f988fc8754f210224772d943423376701a4c204cf,-,-,CUC-GUEST-AAA,CUC-MUDD-3-N-IRIS,"Access Points","Top > CUC > Honold Mudd Library > Third Floor","Mudd 2 North",2016,5,13,11,49,0,4,134,1,-,"1 day 0 hrs 0 mins",8.38,7.44,0.93,0.78,-61.42,35.58,Apple,"802.11n (5 GHz)",CUC-GUEST,iPod,"Apple iPod",Apple,iPod,iOS,"9.2.1 (13D15)"
